PDB_ID,Experimental_Method
6CJG,X-RAY DIFFRACTION
7YAJ,ELECTRON MICROSCOPY
2W98,X-RAY DIFFRACTION
2I5P,X-RAY DIFFRACTION
2ZXE,X-RAY DIFFRACTION
1H9B,X-RAY DIFFRACTION
5SCF,X-RAY DIFFRACTION
1R6E,SOLUTION NMR
4W7E,X-RAY DIFFRACTION
2I68,ELECTRON CRYSTALLOGRAPHY
2J8W,X-RAY DIFFRACTION
4A7Q,X-RAY DIFFRACTION
1VKY,X-RAY DIFFRACTION
5UCS,X-RAY DIFFRACTION
5D66,X-RAY DIFFRACTION
6HN3,X-RAY DIFFRACTION
8R55,ELECTRON MICROSCOPY
8BAU,X-RAY DIFFRACTION
1F3X,X-RAY DIFFRACTION
1P7V,X-RAY DIFFRACTION
2TDM,X-RAY DIFFRACTION
7KZ7,X-RAY DIFFRACTION
1AXQ,X-RAY DIFFRACTION
5XGT,X-RAY DIFFRACTION
3HXY,X-RAY DIFFRACTION
3SCX,X-RAY DIFFRACTION
6B1J,X-RAY DIFFRACTION
3TMS,X-RAY DIFFRACTION
4R3Z,X-RAY DIFFRACTION
6H94,X-RAY DIFFRACTION
3NAE,X-RAY DIFFRACTION
1C6G,X-RAY DIFFRACTION
4XLR,X-RAY DIFFRACTION
6O8N,X-RAY DIFFRACTION
7SWU,X-RAY DIFFRACTION
7MT4,X-RAY DIFFRACTION
4Z5X,X-RAY DIFFRACTION
8JAJ,ELECTRON MICROSCOPY
7K55,ELECTRON MICROSCOPY
5MA8,X-RAY DIFFRACTION
3DHW,X-RAY DIFFRACTION
1LGW,X-RAY DIFFRACTION
8BGH,ELECTRON MICROSCOPY
6FXG,X-RAY DIFFRACTION
3HC7,X-RAY DIFFRACTION
6FE4,X-RAY DIFFRACTION
7PLC,X-RAY DIFFRACTION
1EMG,X-RAY DIFFRACTION
8RCC,X-RAY DIFFRACTION
3CUT,X-RAY DIFFRACTION
2Y2N,X-RAY DIFFRACTION
6VTY,X-RAY DIFFRACTION
3O1H,X-RAY DIFFRACTION
4RLQ,X-RAY DIFFRACTION
3QU1,X-RAY DIFFRACTION
6YAM,ELECTRON MICROSCOPY
4K5O,X-RAY DIFFRACTION
3UD6,X-RAY DIFFRACTION
2ZHX,X-RAY DIFFRACTION
4H7C,X-RAY DIFFRACTION
3NOC,X-RAY DIFFRACTION
1WUY,X-RAY DIFFRACTION
5F4B,X-RAY DIFFRACTION
5WOO,X-RAY DIFFRACTION
5O1Q,SOLUTION NMR
4NC4,X-RAY DIFFRACTION
5VJF,X-RAY DIFFRACTION
5MDZ,ELECTRON MICROSCOPY
5IUW,X-RAY DIFFRACTION
1SUW,X-RAY DIFFRACTION
8RB9,ELECTRON MICROSCOPY
4D4X,X-RAY DIFFRACTION
4IQP,X-RAY DIFFRACTION
6ZHF,X-RAY DIFFRACTION
1O00,X-RAY DIFFRACTION
7JZW,ELECTRON MICROSCOPY
7ETX,X-RAY DIFFRACTION
2XG6,X-RAY DIFFRACTION
7MET,ELECTRON MICROSCOPY
1FRL,X-RAY DIFFRACTION
5WHW,X-RAY DIFFRACTION
1CDE,X-RAY DIFFRACTION
6PNU,X-RAY DIFFRACTION
4HDR,X-RAY DIFFRACTION
3P82,X-RAY DIFFRACTION
4S2E,X-RAY DIFFRACTION
6L35,ELECTRON MICROSCOPY
6X2F,ELECTRON MICROSCOPY
8JKE,ELECTRON MICROSCOPY
3HT8,X-RAY DIFFRACTION
1PSZ,X-RAY DIFFRACTION
2ZZA,X-RAY DIFFRACTION
4DP2,X-RAY DIFFRACTION
2MFH,SOLUTION NMR
1OYV,X-RAY DIFFRACTION
2QN2,X-RAY DIFFRACTION
7XYK,X-RAY DIFFRACTION
1XC4,X-RAY DIFFRACTION
8TLX,X-RAY DIFFRACTION
5LHM,X-RAY DIFFRACTION
6VYE,X-RAY DIFFRACTION
4RGC,X-RAY DIFFRACTION
3KRU,X-RAY DIFFRACTION
8BIM,ELECTRON MICROSCOPY
8QEV,X-RAY DIFFRACTION
3CNB,X-RAY DIFFRACTION
8VON,X-RAY DIFFRACTION
7AAU,X-RAY DIFFRACTION
3IYD,ELECTRON MICROSCOPY
5UJS,X-RAY DIFFRACTION
1NOY,X-RAY DIFFRACTION
3DM9,X-RAY DIFFRACTION
6V39,ELECTRON MICROSCOPY
2XL6,X-RAY DIFFRACTION
3PES,X-RAY DIFFRACTION
1C78,X-RAY DIFFRACTION
8KBD,X-RAY DIFFRACTION
7DPW,ELECTRON MICROSCOPY
1P71,X-RAY DIFFRACTION
3UJ3,X-RAY DIFFRACTION
3D2Z,X-RAY DIFFRACTION
3L66,X-RAY DIFFRACTION
1LI9,X-RAY DIFFRACTION
3W5U,X-RAY DIFFRACTION
1TIS,X-RAY DIFFRACTION
7RQB,X-RAY DIFFRACTION
5AC1,X-RAY DIFFRACTION
7SKX,ELECTRON CRYSTALLOGRAPHY
5VK4,X-RAY DIFFRACTION
6QW8,X-RAY DIFFRACTION
4OKK,X-RAY DIFFRACTION
8JSH,ELECTRON MICROSCOPY
3PPC,X-RAY DIFFRACTION
3FE1,X-RAY DIFFRACTION
6QVL,X-RAY DIFFRACTION
3ETF,X-RAY DIFFRACTION
6OSQ,ELECTRON MICROSCOPY
3ZI4,X-RAY DIFFRACTION
5HL7,X-RAY DIFFRACTION
3LAE,X-RAY DIFFRACTION
9BS0,ELECTRON MICROSCOPY
5W33,X-RAY DIFFRACTION
1L4G,X-RAY DIFFRACTION
8T6F,X-RAY DIFFRACTION
6XKC,X-RAY DIFFRACTION
4HRM,X-RAY DIFFRACTION
1EWR,X-RAY DIFFRACTION
3RZP,X-RAY DIFFRACTION
3SA1,X-RAY DIFFRACTION
6W1P,X-RAY DIFFRACTION
5OWZ,X-RAY DIFFRACTION
6SJA,X-RAY DIFFRACTION
7N6M,X-RAY DIFFRACTION
5GND,X-RAY DIFFRACTION
6MDR,ELECTRON MICROSCOPY
5X4X,X-RAY DIFFRACTION
1S2C,X-RAY DIFFRACTION
3TZH,X-RAY DIFFRACTION
7AP3,X-RAY DIFFRACTION
2ES2,X-RAY DIFFRACTION
7SNH,ELECTRON MICROSCOPY
6D00,ELECTRON MICROSCOPY
5YK4,X-RAY DIFFRACTION
5WRN,X-RAY DIFFRACTION
7CZL,ELECTRON MICROSCOPY
1SDJ,X-RAY DIFFRACTION
4V6P,ELECTRON MICROSCOPY
1HW4,X-RAY DIFFRACTION
2QOM,X-RAY DIFFRACTION
6T7I,ELECTRON MICROSCOPY
7AS8,ELECTRON MICROSCOPY
2Y1Q,X-RAY DIFFRACTION
3AIQ,X-RAY DIFFRACTION
8Q87,ELECTRON MICROSCOPY
1KEV,X-RAY DIFFRACTION
3DPP,X-RAY DIFFRACTION
6QXJ,X-RAY DIFFRACTION
7F45,X-RAY DIFFRACTION
3AL0,X-RAY DIFFRACTION
8D3V,ELECTRON MICROSCOPY
1SER,X-RAY DIFFRACTION
7PY6,ELECTRON MICROSCOPY
7QDX,X-RAY DIFFRACTION
1TWN,X-RAY DIFFRACTION
1E0T,X-RAY DIFFRACTION
8CNP,X-RAY DIFFRACTION
8XZV,ELECTRON MICROSCOPY
7CPJ,ELECTRON MICROSCOPY
9ICD,X-RAY DIFFRACTION
4FHB,X-RAY DIFFRACTION
5X4B,X-RAY DIFFRACTION
3I37,X-RAY DIFFRACTION
5FPE,X-RAY DIFFRACTION
2XVR,ELECTRON MICROSCOPY
3DIN,X-RAY DIFFRACTION
1S6Z,X-RAY DIFFRACTION
8RAK,X-RAY DIFFRACTION
6L7P,ELECTRON MICROSCOPY
5I7R,X-RAY DIFFRACTION
6YLQ,X-RAY DIFFRACTION
5JA9,X-RAY DIFFRACTION
8APN,ELECTRON MICROSCOPY
4V87,X-RAY DIFFRACTION
7UW6,X-RAY DIFFRACTION
6XQD,X-RAY DIFFRACTION
1EAY,X-RAY DIFFRACTION
7L8R,X-RAY DIFFRACTION
4COI,X-RAY DIFFRACTION
5CTV,X-RAY DIFFRACTION
6CN8,X-RAY DIFFRACTION
7AKT,X-RAY DIFFRACTION
6LKQ,X-RAY DIFFRACTION
2UUZ,X-RAY DIFFRACTION
8BCU,ELECTRON MICROSCOPY
8FVB,X-RAY DIFFRACTION
2ZYC,X-RAY DIFFRACTION
1JWP,X-RAY DIFFRACTION
6T4Q,ELECTRON MICROSCOPY
9B8V,ELECTRON MICROSCOPY
3FZB,X-RAY DIFFRACTION
6UNF,X-RAY DIFFRACTION
6GHL,X-RAY DIFFRACTION
5TO0,X-RAY DIFFRACTION
7OSE,ELECTRON MICROSCOPY
4V8G,X-RAY DIFFRACTION
3ZUS,X-RAY DIFFRACTION
8SZE,X-RAY DIFFRACTION
6UHK,X-RAY DIFFRACTION
1BXR,X-RAY DIFFRACTION
3RWN,X-RAY DIFFRACTION
8F85,X-RAY DIFFRACTION
4MVN,X-RAY DIFFRACTION
5ZZV,X-RAY DIFFRACTION
4NAH,X-RAY DIFFRACTION
2IWD,X-RAY DIFFRACTION
4LIN,X-RAY DIFFRACTION
1YJ2,X-RAY DIFFRACTION
2R6A,X-RAY DIFFRACTION
1DPG,X-RAY DIFFRACTION
4G7H,X-RAY DIFFRACTION
9AX7,ELECTRON MICROSCOPY
4LU4,X-RAY DIFFRACTION
4V7X,X-RAY DIFFRACTION
4MJM,X-RAY DIFFRACTION
2EUG,X-RAY DIFFRACTION
4N3D,X-RAY DIFFRACTION
8QEU,X-RAY DIFFRACTION
4DGQ,X-RAY DIFFRACTION
5MDV,ELECTRON MICROSCOPY
4EM7,X-RAY DIFFRACTION
6LGM,X-RAY DIFFRACTION
1B8H,X-RAY DIFFRACTION
6W14,X-RAY DIFFRACTION
5F9K,X-RAY DIFFRACTION
8DTD,X-RAY DIFFRACTION
7FQD,X-RAY DIFFRACTION
1SG9,X-RAY DIFFRACTION
7W4T,X-RAY DIFFRACTION
1DKM,X-RAY DIFFRACTION
1Y3D,X-RAY DIFFRACTION
8EYF,X-RAY DIFFRACTION
4PUU,X-RAY DIFFRACTION
2VYV,X-RAY DIFFRACTION
1L26,X-RAY DIFFRACTION
5BR8,X-RAY DIFFRACTION
6ZXE,ELECTRON MICROSCOPY
7Z2S,X-RAY DIFFRACTION
5AAO,X-RAY DIFFRACTION
8P4M,ELECTRON MICROSCOPY
4DFC,X-RAY DIFFRACTION
5ONL,X-RAY DIFFRACTION
7W4N,ELECTRON MICROSCOPY
1GNV,X-RAY DIFFRACTION
4O83,X-RAY DIFFRACTION
3LWD,X-RAY DIFFRACTION
6W5E,X-RAY DIFFRACTION
2H6V,X-RAY DIFFRACTION
3NE2,X-RAY DIFFRACTION
1IXH,X-RAY DIFFRACTION
1SCA,X-RAY DIFFRACTION
1ME7,X-RAY DIFFRACTION
6G8V,X-RAY DIFFRACTION
8AED,X-RAY DIFFRACTION
1I8T,X-RAY DIFFRACTION
4B3T,X-RAY DIFFRACTION
5HDJ,X-RAY DIFFRACTION
8P1T,X-RAY DIFFRACTION
8IRM,ELECTRON MICROSCOPY
8H1D,SOLID-STATE NMR
6U1Q,X-RAY DIFFRACTION
6TA6,ELECTRON MICROSCOPY
3KCU,X-RAY DIFFRACTION
1YWG,X-RAY DIFFRACTION
2J7E,X-RAY DIFFRACTION
9FV7,ELECTRON MICROSCOPY
7M4W,ELECTRON MICROSCOPY
7K7H,ELECTRON MICROSCOPY
3V0B,X-RAY DIFFRACTION
1ZPQ,X-RAY DIFFRACTION
8RS1,X-RAY DIFFRACTION
1RD5,X-RAY DIFFRACTION
7QXF,X-RAY DIFFRACTION
1JJ7,X-RAY DIFFRACTION
1GFZ,X-RAY DIFFRACTION
1ZH2,X-RAY DIFFRACTION
1ST2,X-RAY DIFFRACTION
5V7I,X-RAY DIFFRACTION
6JCM,X-RAY DIFFRACTION
3N7J,X-RAY DIFFRACTION
5XLP,ELECTRON MICROSCOPY
3FCK,X-RAY DIFFRACTION
6YG8,ELECTRON MICROSCOPY
9AX8,ELECTRON MICROSCOPY
4UAQ,X-RAY DIFFRACTION
5EYL,X-RAY DIFFRACTION
8FS5,ELECTRON MICROSCOPY
5E17,X-RAY DIFFRACTION
7MSC,ELECTRON MICROSCOPY
8DY7,ELECTRON MICROSCOPY
2QPP,X-RAY DIFFRACTION
5CCT,X-RAY DIFFRACTION
4ZZ0,X-RAY DIFFRACTION
2BJD,X-RAY DIFFRACTION
3JTF,X-RAY DIFFRACTION
5W7J,X-RAY DIFFRACTION
1KGF,X-RAY DIFFRACTION
3ST6,X-RAY DIFFRACTION
6G2X,X-RAY DIFFRACTION
6JF1,X-RAY DIFFRACTION
7GY6,X-RAY DIFFRACTION
6ONT,X-RAY DIFFRACTION
1JBY,X-RAY DIFFRACTION
6JEX,X-RAY DIFFRACTION
7UM1,ELECTRON MICROSCOPY
2XXA,X-RAY DIFFRACTION
8UZN,X-RAY DIFFRACTION
8G4V,X-RAY DIFFRACTION
6UZ7,ELECTRON MICROSCOPY
8ABY,ELECTRON MICROSCOPY
3U6X,X-RAY DIFFRACTION
1T8W,X-RAY DIFFRACTION
6SMR,X-RAY DIFFRACTION
7VXV,X-RAY DIFFRACTION
3UH8,X-RAY DIFFRACTION
6NUB,X-RAY DIFFRACTION
1HTQ,X-RAY DIFFRACTION
8P7X,ELECTRON MICROSCOPY
7D8L,X-RAY DIFFRACTION
3QO7,X-RAY DIFFRACTION
7RF5,X-RAY DIFFRACTION
3PO4,X-RAY DIFFRACTION
1DR2,X-RAY DIFFRACTION
3IWP,X-RAY DIFFRACTION
1LWI,X-RAY DIFFRACTION
2XM0,X-RAY DIFFRACTION
9B40,ELECTRON MICROSCOPY
6P1B,X-RAY DIFFRACTION
3Q44,X-RAY DIFFRACTION
8YKF,ELECTRON MICROSCOPY
4PW4,X-RAY DIFFRACTION
7TQ1,X-RAY DIFFRACTION
9D86,X-RAY DIFFRACTION
3TEH,X-RAY DIFFRACTION
3VV3,X-RAY DIFFRACTION
4K57,X-RAY DIFFRACTION
6F0O,X-RAY DIFFRACTION
7NAU,ELECTRON MICROSCOPY
9BKX,X-RAY DIFFRACTION
6RCZ,X-RAY DIFFRACTION
8QGR,X-RAY DIFFRACTION
5I7A,X-RAY DIFFRACTION
2FF7,X-RAY DIFFRACTION
4FQ9,X-RAY DIFFRACTION
7KDR,X-RAY DIFFRACTION
1OD6,X-RAY DIFFRACTION
2PXL,X-RAY DIFFRACTION
8G3B,ELECTRON MICROSCOPY
4ZYT,X-RAY DIFFRACTION
4R4R,X-RAY DIFFRACTION
1QNF,X-RAY DIFFRACTION
6OVR,X-RAY DIFFRACTION
5JY6,X-RAY DIFFRACTION
6WDF,ELECTRON MICROSCOPY
6WQH,ELECTRON MICROSCOPY
1REG,X-RAY DIFFRACTION
4DTR,X-RAY DIFFRACTION
5UHT,X-RAY DIFFRACTION
6BOV,X-RAY DIFFRACTION
6G8B,X-RAY DIFFRACTION
2B0Q,X-RAY DIFFRACTION
3AHY,X-RAY DIFFRACTION
5SCE,X-RAY DIFFRACTION
2BI8,X-RAY DIFFRACTION
2V3C,X-RAY DIFFRACTION
1KUT,X-RAY DIFFRACTION
2QZA,X-RAY DIFFRACTION
2BI7,X-RAY DIFFRACTION
7JH4,X-RAY DIFFRACTION
9AUW,X-RAY DIFFRACTION
5BYT,X-RAY DIFFRACTION
4OM9,X-RAY DIFFRACTION
8CGY,X-RAY DIFFRACTION
5ZGN,X-RAY DIFFRACTION
1KMI,X-RAY DIFFRACTION
8S4P,X-RAY DIFFRACTION
8UY6,ELECTRON MICROSCOPY
3W6M,X-RAY DIFFRACTION
6HRJ,X-RAY DIFFRACTION
9BPE,X-RAY DIFFRACTION
8TQF,X-RAY DIFFRACTION
8QN4,ELECTRON MICROSCOPY
4K5M,X-RAY DIFFRACTION
2E6E,X-RAY DIFFRACTION
5L8Z,X-RAY DIFFRACTION
4D74,X-RAY DIFFRACTION
3QO5,X-RAY DIFFRACTION
1NWX,X-RAY DIFFRACTION
3IGN,X-RAY DIFFRACTION
1NGA,X-RAY DIFFRACTION
1NZX,X-RAY DIFFRACTION
7PLB,X-RAY DIFFRACTION
4O7N,X-RAY DIFFRACTION
4WU1,X-RAY DIFFRACTION
5LZI,X-RAY DIFFRACTION
8VBS,X-RAY DIFFRACTION
3SV3,X-RAY DIFFRACTION
2GPN,X-RAY DIFFRACTION
5ZMV,X-RAY DIFFRACTION
7RO5,ELECTRON MICROSCOPY
3S9U,X-RAY DIFFRACTION
3DDA,X-RAY DIFFRACTION
1JR5,SOLUTION NMR
2B4T,X-RAY DIFFRACTION
5Z1M,X-RAY DIFFRACTION
4OIX,X-RAY DIFFRACTION
3H2A,X-RAY DIFFRACTION
4JJ2,X-RAY DIFFRACTION
7ZQ6,ELECTRON MICROSCOPY
1V3Z,X-RAY DIFFRACTION
4WXL,X-RAY DIFFRACTION
1ZXI,X-RAY DIFFRACTION
8XP3,ELECTRON MICROSCOPY
8ZEE,ELECTRON MICROSCOPY
9I2Y,X-RAY DIFFRACTION
8FDZ,Error 404
7UVX,ELECTRON MICROSCOPY
5JD5,X-RAY DIFFRACTION
1JVJ,X-RAY DIFFRACTION
8T8G,X-RAY DIFFRACTION
2PWJ,X-RAY DIFFRACTION
7UGH,X-RAY DIFFRACTION
7MID,ELECTRON MICROSCOPY
7SNJ,X-RAY DIFFRACTION
3I0Y,X-RAY DIFFRACTION
7LGH,ELECTRON MICROSCOPY
7T5K,X-RAY DIFFRACTION
2DKF,X-RAY DIFFRACTION
8SZD,X-RAY DIFFRACTION
4U3N,X-RAY DIFFRACTION
6QTP,X-RAY DIFFRACTION
8J9T,X-RAY DIFFRACTION
7OE0,ELECTRON MICROSCOPY
8PRC,X-RAY DIFFRACTION
3SQB,X-RAY DIFFRACTION
5DYF,X-RAY DIFFRACTION
4LEA,X-RAY DIFFRACTION
5UYQ,ELECTRON MICROSCOPY
8URH,ELECTRON MICROSCOPY
8X5U,X-RAY DIFFRACTION
5J3C,X-RAY DIFFRACTION
7CK4,X-RAY DIFFRACTION
8Y3W,ELECTRON MICROSCOPY
2NPE,X-RAY DIFFRACTION
1YQ8,X-RAY DIFFRACTION
5WYN,X-RAY DIFFRACTION
8WFQ,X-RAY DIFFRACTION
7ASP,ELECTRON MICROSCOPY
8BL7,ELECTRON MICROSCOPY
8I4L,ELECTRON MICROSCOPY
3ACL,X-RAY DIFFRACTION
1NJB,X-RAY DIFFRACTION
1MGO,X-RAY DIFFRACTION
7VIA,ELECTRON MICROSCOPY
1OZT,X-RAY DIFFRACTION
1L66,X-RAY DIFFRACTION
3DOC,X-RAY DIFFRACTION
2E6H,X-RAY DIFFRACTION
1N80,X-RAY DIFFRACTION
4HO2,X-RAY DIFFRACTION
4UFS,X-RAY DIFFRACTION
6H1J,X-RAY DIFFRACTION
1LI5,X-RAY DIFFRACTION
7LTI,X-RAY DIFFRACTION
5ETQ,X-RAY DIFFRACTION
9DUK,ELECTRON MICROSCOPY
7NRI,ELECTRON MICROSCOPY
8G4C,ELECTRON MICROSCOPY
4I9C,X-RAY DIFFRACTION
5WJ1,X-RAY DIFFRACTION
2AV6,X-RAY DIFFRACTION
3KEO,X-RAY DIFFRACTION
4TUA,X-RAY DIFFRACTION
1YID,X-RAY DIFFRACTION
8G14,ELECTRON MICROSCOPY
2G1A,X-RAY DIFFRACTION
7LOF,X-RAY DIFFRACTION
1PQJ,X-RAY DIFFRACTION
1O02,X-RAY DIFFRACTION
7BGI,ELECTRON MICROSCOPY
6TJI,X-RAY DIFFRACTION
6I4Y,X-RAY DIFFRACTION
7C5I,X-RAY DIFFRACTION
4ZJ1,X-RAY DIFFRACTION
8F26,ELECTRON MICROSCOPY
7UBM,ELECTRON MICROSCOPY
4D73,X-RAY DIFFRACTION
4HHT,X-RAY DIFFRACTION
1RY8,X-RAY DIFFRACTION
1Z6A,X-RAY DIFFRACTION
1MM8,X-RAY DIFFRACTION
4UXW,X-RAY DIFFRACTION
3ZU7,X-RAY DIFFRACTION
9FV1,ELECTRON MICROSCOPY
6U8N,ELECTRON MICROSCOPY
8IMW,X-RAY DIFFRACTION
5YRP,X-RAY DIFFRACTION
6P71,X-RAY DIFFRACTION
1H60,X-RAY DIFFRACTION
3HTA,X-RAY DIFFRACTION
1JII,X-RAY DIFFRACTION
1SJN,X-RAY DIFFRACTION
3J40,ELECTRON MICROSCOPY
5VGX,X-RAY DIFFRACTION
7W1T,ELECTRON MICROSCOPY
8G7R,ELECTRON MICROSCOPY
5IKN,X-RAY DIFFRACTION
1O6C,X-RAY DIFFRACTION
8FC4,X-RAY DIFFRACTION
5O2A,X-RAY DIFFRACTION
1N0Q,X-RAY DIFFRACTION
6I33,X-RAY DIFFRACTION
8QUR,X-RAY DIFFRACTION
7RH8,X-RAY DIFFRACTION
3OJS,X-RAY DIFFRACTION
4LGL,X-RAY DIFFRACTION
7AR7,ELECTRON MICROSCOPY
1SOT,X-RAY DIFFRACTION
6JFE,X-RAY DIFFRACTION
4ARO,X-RAY DIFFRACTION
1EKR,X-RAY DIFFRACTION
7BL6,ELECTRON MICROSCOPY
1YU2,X-RAY DIFFRACTION
1XA1,X-RAY DIFFRACTION
4XEM,X-RAY DIFFRACTION
8WKP,ELECTRON MICROSCOPY
3V36,X-RAY DIFFRACTION
6YYS,ELECTRON MICROSCOPY
7ODN,X-RAY DIFFRACTION
4KNY,X-RAY DIFFRACTION
4PRT,X-RAY DIFFRACTION
1LQ1,X-RAY DIFFRACTION
5J91,X-RAY DIFFRACTION
1MEE,X-RAY DIFFRACTION
5A23,X-RAY DIFFRACTION
5KII,X-RAY DIFFRACTION
4RPH,X-RAY DIFFRACTION
2ZKX,X-RAY DIFFRACTION
3J9Y,ELECTRON MICROSCOPY
3A5U,X-RAY DIFFRACTION
7UIX,ELECTRON MICROSCOPY
1EQ7,X-RAY DIFFRACTION
5TJR,X-RAY DIFFRACTION
4V5F,X-RAY DIFFRACTION
6NVR,X-RAY DIFFRACTION
4YG7,X-RAY DIFFRACTION
4G7Z,X-RAY DIFFRACTION
6G7R,X-RAY DIFFRACTION
3KYB,X-RAY DIFFRACTION
2G5H,X-RAY DIFFRACTION
1SPB,X-RAY DIFFRACTION
3PYL,X-RAY DIFFRACTION
1PFW,X-RAY DIFFRACTION
1BFU,X-RAY DIFFRACTION
3B3D,X-RAY DIFFRACTION
1RBM,X-RAY DIFFRACTION
7X3O,X-RAY DIFFRACTION
3G7V,X-RAY DIFFRACTION
6IEP,X-RAY DIFFRACTION
8Z11,ELECTRON MICROSCOPY
3ILO,X-RAY DIFFRACTION
5JBK,X-RAY DIFFRACTION
8AXZ,X-RAY DIFFRACTION
4XN7,X-RAY DIFFRACTION
8OON,X-RAY DIFFRACTION
1CRW,X-RAY DIFFRACTION
2WU8,X-RAY DIFFRACTION
5WRO,X-RAY DIFFRACTION
5NUP,X-RAY DIFFRACTION
1G9A,X-RAY DIFFRACTION
6A83,X-RAY DIFFRACTION
5BY6,X-RAY DIFFRACTION
3X44,X-RAY DIFFRACTION
7UIB,X-RAY DIFFRACTION
7OZ4,ELECTRON MICROSCOPY
6ZOO,ELECTRON MICROSCOPY
5JYF,X-RAY DIFFRACTION
8XSY,ELECTRON MICROSCOPY
1ZLY,X-RAY DIFFRACTION
3GZO,X-RAY DIFFRACTION
1TU2,SOLUTION NMR
1IZL,X-RAY DIFFRACTION
8YO5,ELECTRON MICROSCOPY
3CG9,X-RAY DIFFRACTION
9BKN,X-RAY DIFFRACTION
4DKY,X-RAY DIFFRACTION
8RWP,X-RAY DIFFRACTION
5E86,X-RAY DIFFRACTION
4I26,X-RAY DIFFRACTION
1YD6,X-RAY DIFFRACTION
1UBH,X-RAY DIFFRACTION
1RB2,X-RAY DIFFRACTION
7VWX,ELECTRON MICROSCOPY
3R64,X-RAY DIFFRACTION
4V74,ELECTRON MICROSCOPY
7FPN,X-RAY DIFFRACTION
3TSB,X-RAY DIFFRACTION
8C8I,X-RAY DIFFRACTION
3UOW,X-RAY DIFFRACTION
7M7C,X-RAY DIFFRACTION
4XO1,X-RAY DIFFRACTION
8PWS,X-RAY DIFFRACTION
1KTI,X-RAY DIFFRACTION
1UXM,X-RAY DIFFRACTION
5O4P,X-RAY DIFFRACTION
3TA0,X-RAY DIFFRACTION
6RUV,X-RAY DIFFRACTION
7DZ7,ELECTRON MICROSCOPY
4HX9,X-RAY DIFFRACTION
6DEN,X-RAY DIFFRACTION
1UFL,X-RAY DIFFRACTION
1CH8,X-RAY DIFFRACTION
8RJ8,X-RAY DIFFRACTION
3E3V,X-RAY DIFFRACTION
3UZJ,X-RAY DIFFRACTION
5U9F,ELECTRON MICROSCOPY
4L05,X-RAY DIFFRACTION
